Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
Sperenberg. Heegesee;BB;33387158;5777657;ETRS89_UTM33;3850;102304;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2124;129;Heegesee;Elbe;Elbe;52.1378906;13.35115731
Lychen;BB;33387939;5895415;ETRS89_UTM33;8000;125600;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2513;100;Graben - Großer Lychensee;Elbe;Elbe;53.19624344;13.32251538
Bad Liebenwerda;BB;33388249;5709197;ETRS89_UTM33;20000;395000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2335;444;Schwarze Elster;Elbe;Elbe;51.5228203;13.38919833
Winkel;BB;33389083;5711682;ETRS89_UTM33;5000;97900;Zweitbehandlung;0;0;0;0;0;0;0;0;(null);3503;609;Landgraben;Elbe;Elbe;51.54532031;13.40043187
Zehdenick;BB;33390226;5869851;ETRS89_UTM33;15000;464000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2276;325;Voßkanal;Elbe;Elbe;52.96701187;13.36546149
Liebenwalde;BB;33392295;5856304;ETRS89_UTM33;14000;533000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8275;919;Malzer Kanal;Elbe;Elbe;52.84569727;13.400746
Dahme;BB;33392590;5748678;ETRS89_UTM33;7500;195000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);937;138;Dahme;Elbe;Elbe;51.87852203;13.43958373
Zossen Tandem-KA;BB;33394982;5784311;ETRS89_UTM33;33000;992400;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);28645;1864;Müllergraben;Elbe;Elbe;52.19923583;13.46337594
Templin;BB;33397760;5883036;ETRS89_UTM33;22400;650800;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2603;520;Schulzenfließ;Elbe;Elbe;53.08698426;13.47341959
Lindena;BB;33397798;5716354;ETRS89_UTM33;25000;340000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1423;109;Kleine Elster;Elbe;Elbe;51.58896098;13.52470805
Elsterwerda;BB;33398574;5701820;ETRS89_UTM33;80000;1217000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3164;702;Schwarze Elster;Elbe;Elbe;51.45845855;13.54009015
Baruth;BB;33398850;5766725;ETRS89_UTM33;8000;307000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2441;342;Buschgraben;Elbe;Elbe;52.0419;13.52517903
Lobetal;BB;33404602;5843281;ETRS89_UTM33;3000;113710;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1706;80;Uppstallfließ;Oder;Oder;52.73097991;13.58721831
Teupitz;BB;33405179;5775646;ETRS89_UTM33;4000;133000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);843;45;Grundwasser EZG Füchsengraben;Elbe;Elbe;52.12320244;13.61494886
Sonnewalde;BB;33406605;5725452;ETRS89_UTM33;3500;71000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);475;532;Kleine Elster;Elbe;Elbe;51.67227193;13.6493709
Biesenthal Kirschallee;BB;33408066;5847487;ETRS89_UTM33;3800;135110;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6746;141;Finow;Oder;Oder;52.76938028;13.63732271
Münchehofe BWB;BB;33408937;5816235;ETRS89_UTM33;286000;14234000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);242400;8800;Neuenhagener Mühlenfließ;Elbe;Elbe;52.48865003;13.65884528
Großthiemig;BB;33409005;5693856;ETRS89_UTM33;5000;210000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);924;315;Pulsnitz;Elbe;Elbe;51.38863922;13.6922331
Finsterwalde;BB;33410120;5719414;ETRS89_UTM33;25000;1141000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2698;623;Schacke;Elbe;Elbe;51.61856861;13.70174001
Kasel-Golzig;BB;33411556;5753639;ETRS89_UTM33;40000;611000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);5645;158;Berste;Elbe;Elbe;51.92644653;13.71375929
Lauchhammer;BB;33413773;5702192;ETRS89_UTM33;27000;700000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8400;770;Schwarze Elster;Elbe;Elbe;51.4643222;13.75871137
Werneuchen;BB;33414196;5830617;ETRS89_UTM33;15000;468000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3042;224;Stienitz;Elbe;Elbe;52.61876668;13.73255783
Gerswalde;BB;33417578;5891025;ETRS89_UTM33;5000;112000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1741;135;Stierngraben /Oberueckersee;Oder;Oder;53.16220985;13.76719217
Joachimsthal;BB;33417644;5868752;ETRS89_UTM33;15000;202000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1618;29;Grimnitzsee;Oder;Oder;52.96204669;13.77387684
